1,1,0.065
1,2,0.005
1,3,0.003
2,1,0.012
2,2,0.013
2,3,0.014
3,1,0.015
3,2,0.017
3,3,0.014
4,1,0.042
4,2,0.015
4,3,0.018
5,1,3.442
5,2,3.311
5,3,3.287
6,1,0.881
6,2,0.897
6,3,0.786
7,1,0.017
7,2,0.013
7,3,0.046
8,1,0.021
8,2,0.021
8,3,0.019
9,1,0.943
9,2,0.971
9,3,0.934
10,1,0.880
10,2,0.919
10,3,0.907
11,1,0.177
11,2,0.187
11,3,0.174
12,1,0.205
12,2,0.220
12,3,0.183
13,1,0.552
13,2,0.552
13,3,0.561
14,1,0.940
14,2,0.940
14,3,0.920
15,1,0.567
15,2,0.570
15,3,0.571
16,1,0.371
16,2,0.318
16,3,0.378
17,1,1.161
17,2,1.173
17,3,1.168
18,1,0.543
18,2,0.481
18,3,0.430
19,1,2.535
19,2,2.519
19,3,2.289
20,1,0.028
20,2,0.028
20,3,0.018
21,1,0.107
21,2,0.127
21,3,0.121
22,1,0.132
22,2,0.136
22,3,0.137
23,1,0.218
23,2,0.240
23,3,0.223
24,1,0.523
24,2,0.520
24,3,0.498
25,1,0.046
25,2,0.044
25,3,0.050
26,1,0.037
26,2,0.040
26,3,0.039
27,1,0.045
27,2,0.045
27,3,0.044
28,1,0.143
28,2,0.132
28,3,0.127
29,1,1.368
29,2,1.412
29,3,1.429
30,1,0.202
30,2,0.188
30,3,0.189
31,1,0.346
31,2,0.353
31,3,0.371
32,1,0.454
32,2,0.577
32,3,0.486
33,1,3.980
33,2,3.030
33,3,3.545
34,1,3.397
34,2,3.358
34,3,3.668
35,1,3.503
35,2,3.372
35,3,3.619
36,1,0.604
36,2,0.797
36,3,0.610
37,1,0.236
37,2,0.230
37,3,0.233
38,1,0.047
38,2,0.046
38,3,0.041
39,1,0.023
39,2,0.022
39,3,0.022
40,1,0.554
40,2,0.579
40,3,0.568
41,1,0.028
41,2,0.024
41,3,0.019
42,1,0.020
42,2,0.020
42,3,0.025
43,1,0.013
43,2,0.014
43,3,0.015
