2,0.029,0.034,0.019
3,0.025,0.026,0.024
4,0.048,0.019,0.017
5,0.592,0.563,0.610
6,0.756,0.771,0.762
7,0.038,0.013,0.012
8,0.019,0.017,0.022
9,0.477,0.475,0.473
10,0.804,0.743,0.764
11,0.149,0.148,0.146
12,0.142,0.145,0.145
13,0.462,0.467,0.460
14,0.795,0.787,0.772
15,0.494,0.492,0.520
16,0.293,0.321,0.336
17,1.076,1.147,1.053
18,0.980,1.041,1.035
19,1.803,1.773,1.892
20,0.020,0.021,0.015
21,0.156,0.134,0.151
22,0.194,0.175,0.168
23,0.213,0.199,0.207
24,0.563,0.567,0.561
25,0.044,0.044,0.042
26,0.034,0.034,0.033
27,0.040,0.040,0.043
28,0.164,0.162,0.158
29,1.404,1.444,1.427
30,0.326,0.176,0.165
31,0.199,0.196,0.205
32,0.370,0.278,0.295
33,2.686,3.084,2.850
34,2.922,3.236,3.144
35,3.009,2.976,3.080
36,0.556,0.555,0.526
37,0.189,0.193,0.185
38,0.055,0.042,0.055
39,0.034,0.027,0.028
40,0.441,0.460,0.436
41,0.027,0.028,0.023
42,0.016,0.014,0.013
43,0.020,0.040,0.020
