2,0.029,0.022,0.020
3,0.023,0.023,0.021
4,0.070,0.024,0.020
5,3.846,3.915,4.065
6,1.149,1.213,1.529
7,0.066,0.017,0.014
8,0.040,0.022,0.023
9,0.948,0.953,0.847
10,0.952,0.938,0.914
11,0.203,0.192,0.256
12,0.288,0.214,0.208
13,0.567,0.565,0.565
14,0.949,0.986,0.894
15,0.585,0.590,0.596
16,0.329,0.333,0.348
17,1.522,1.260,1.260
18,0.531,0.619,0.625
19,2.448,2.600,2.586
20,0.038,0.027,0.032
21,0.177,0.187,0.185
22,0.237,0.203,0.197
23,0.285,0.257,0.259
24,0.796,0.778,0.770
25,0.068,0.058,0.055
26,0.046,0.046,0.050
27,0.057,0.054,0.057
28,0.197,0.208,0.211
29,1.823,1.833,1.796
30,0.613,0.313,0.309
31,0.230,0.298,0.221
32,0.493,0.523,0.471
33,3.486,2.992,3.002
34,3.800,3.849,4.114
35,3.858,4.028,3.641
36,0.964,0.815,0.757
37,0.257,0.252,0.240
38,0.052,0.042,0.055
39,0.028,0.026,0.034
40,0.625,0.630,0.608
41,0.035,0.031,0.025
42,0.030,0.019,0.021
43,0.027,0.015,0.024
